"year","region","age","sex","n","mean_income"
"2000","GM001","15_25","F",285,1568.61
"2000","GM002","15_25","F",616,1580.96
"2000","GM003","15_25","F",375,1576.06
"2000","GM004","15_25","F",518,1617.89
"2000","GM005","15_25","F",695,1572.56
"2000","GM006","15_25","F",339,1607.03
"2000","GM007","15_25","F",188,1526.76
"2000","GM008","15_25","F",263,1594.69
"2000","GM009","15_25","F",327,1593.15
"2000","GM010","15_25","F",430,1565.56
"2000","GM011","15_25","F",524,1615.72
"2000","GM012","15_25","F",580,1622.14
"2000","GM013","15_25","F",545,1587.8
"2000","GM014","15_25","F",705,1585.44
"2000","GM015","15_25","F",153,1586.08
"2000","GM016","15_25","F",914,1603.91
"2000","GM017","15_25","F",506,1599.1
"2000","GM018","15_25","F",263,1587.36
"2000","GM019","15_25","F",609,1599.42
"2000","GM020","15_25","F",463,1614.77
"2000","GM021","15_25","F",1015,1580.71
"2000","GM022","15_25","F",898,1565.83
"2000","GM023","15_25","F",600,1591.61
"2000","GM024","15_25","F",877,1593.76
"2000","GM025","15_25","F",992,1589.51
"2000","GM026","15_25","F",621,1578.93
"2000","GM027","15_25","F",159,1630.94
"2000","GM028","15_25","F",797,1578.67
"2000","GM029","15_25","F",468,1594.26
"2000","GM030","15_25","F",834,1594.52
"2000","GM031","15_25","F",644,1601.69
"2000","GM032","15_25","F",654,1581.63
"2000","GM033","15_25","F",478,1544.31
"2000","GM034","15_25","F",1071,1573.98
"2000","GM035","15_25","F",722,1605.55
"2000","GM036","15_25","F",656,1582.77
"2000","GM037","15_25","F",250,1561.35
"2000","GM038","15_25","F",403,1589.61
"2000","GM039","15_25","F",714,1562.81
"2000","GM040","15_25","F",186,1516.17
"2000","GM041","15_25","F",965,1603.04
"2000","GM042","15_25","F",702,1597.66
"2000","GM043","15_25","F",136,1551.69
"2000","GM044","15_25","F",567,1577.26
"2000","GM045","15_25","F",336,1576.85
"2000","GM046","15_25","F",869,1581.25
"2000","GM047","15_25","F",795,1614.18
"2000","GM048","15_25","F",1078,1569.73
"2000","GM049","15_25","F",776,1590.86
"2000","GM050","15_25","F",780,1585.05
"2000","GM051","15_25","F",736,1595.13
"2000","GM052","15_25","F",507,1597.83
"2000","GM053","15_25","F",802,1595.76
"2000","GM054","15_25","F",407,1585.44
"2000","GM055","15_25","F",1058,1575.26
"2000","GM056","15_25","F",814,1611.44
"2000","GM057","15_25","F",451,1542.19
"2000","GM058","15_25","F",720,1583.59
"2000","GM059","15_25","F",391,1573.8
"2000","GM060","15_25","F",1116,1586.7
"2000","GM061","15_25","F",963,1585.39
"2000","GM062","15_25","F",316,1598.03
"2000","GM063","15_25","F",993,1587.64
"2000","GM064","15_25","F",256,1619.22
"2000","GM065","15_25","F",146,1623.77
"2000","GM066","15_25","F",864,1588.94
"2000","GM067","15_25","F",427,1584.52
"2000","GM068","15_25","F",371,1575.83
"2000","GM069","15_25","F",274,1621.38
"2000","GM070","15_25","F",675,1584.48
"2000","GM071","15_25","F",229,1648.84
"2000","GM072","15_25","F",308,1579.78
"2000","GM073","15_25","F",446,1571.74
"2000","GM074","15_25","F",844,1580.45
"2000","GM075","15_25","F",279,1592.9
"2000","GM076","15_25","F",183,1609.42
"2000","GM077","15_25","F",1014,1606.44
"2000","GM078","15_25","F",314,1581.62
"2000","GM079","15_25","F",566,1592.73
"2000","GM080","15_25","F",533,1575.84
"2000","GM081","15_25","F",979,1590.43
"2000","GM082","15_25","F",943,1585.98
"2000","GM083","15_25","F",1090,1603.47
"2000","GM084","15_25","F",514,1604.73
"2000","GM085","15_25","F",254,1533.18
"2000","GM086","15_25","F",305,1571.65
"2000","GM087","15_25","F",136,1529.15
"2000","GM088","15_25","F",965,1606.67
"2000","GM089","15_25","F",913,1598.68
"2000","GM090","15_25","F",266,1548.65
"2000","GM091","15_25","F",787,1567.52
"2000","GM092","15_25","F",225,1548.13
"2000","GM093","15_25","F",973,1582.09
"2000","GM094","15_25","F",108,1624.2
"2000","GM095","15_25","F",969,1570.23
"2000","GM096","15_25","F",634,1569.45
"2000","GM097","15_25","F",601,1597.64
"2000","GM098","15_25","F",577,1548.48
"2000","GM099","15_25","F",331,1563.72
"2000","GM100","15_25","F",854,1559.87
"2000","GM001","15_25","M",658,2090.74
"2000","GM002","15_25","M",1334,2094.13
"2000","GM003","15_25","M",899,2092.37
"2000","GM004","15_25","M",1188,2075.56
"2000","GM005","15_25","M",1683,2089.44
"2000","GM006","15_25","M",745,2100.65
"2000","GM007","15_25","M",496,2089.58
"2000","GM008","15_25","M",611,2097.43
"2000","GM009","15_25","M",781,2071.73
"2000","GM010","15_25","M",960,2085.83
"2000","GM011","15_25","M",1261,2076.23
"2000","GM012","15_25","M",1308,2082.26
"2000","GM013","15_25","M",1417,2083.41
"2000","GM014","15_25","M",1666,2079.39
"2000","GM015","15_25","M",346,2106.54
"2000","GM016","15_25","M",2260,2091.79
"2000","GM017","15_25","M",1202,2087.04
"2000","GM018","15_25","M",580,2075.01
"2000","GM019","15_25","M",1438,2083.76
"2000","GM020","15_25","M",1141,2084.87
"2000","GM021","15_25","M",2384,2092.39
"2000","GM022","15_25","M",2345,2081.56
"2000","GM023","15_25","M",1393,2088.39
"2000","GM024","15_25","M",1959,2083.47
"2000","GM025","15_25","M",2192,2087.55
"2000","GM026","15_25","M",1504,2096.07
"2000","GM027","15_25","M",427,2094.55
"2000","GM028","15_25","M",1887,2085.29
"2000","GM029","15_25","M",1059,2095.67
"2000","GM030","15_25","M",1875,2075.76
"2000","GM031","15_25","M",1583,2081.75
"2000","GM032","15_25","M",1548,2095.32
"2000","GM033","15_25","M",1071,2068.42
"2000","GM034","15_25","M",2468,2079.22
"2000","GM035","15_25","M",1776,2106.27
"2000","GM036","15_25","M",1555,2073.13
"2000","GM037","15_25","M",669,2073.86
"2000","GM038","15_25","M",836,2112.01
"2000","GM039","15_25","M",1629,2074.99
"2000","GM040","15_25","M",470,2096.87
"2000","GM041","15_25","M",2229,2076.56
"2000","GM042","15_25","M",1635,2093.45
"2000","GM043","15_25","M",279,2061.01
"2000","GM044","15_25","M",1296,2090.86
"2000","GM045","15_25","M",877,2085.36
"2000","GM046","15_25","M",2008,2086.55
"2000","GM047","15_25","M",1857,2098.31
"2000","GM048","15_25","M",2535,2080.48
"2000","GM049","15_25","M",1665,2066.66
"2000","GM050","15_25","M",1790,2086.73
"2000","GM051","15_25","M",1695,2096.54
"2000","GM052","15_25","M",1170,2070.92
"2000","GM053","15_25","M",1932,2075.24
"2000","GM054","15_25","M",896,2096.01
"2000","GM055","15_25","M",2518,2088.94
"2000","GM056","15_25","M",1933,2084.66
"2000","GM057","15_25","M",999,2098.91
"2000","GM058","15_25","M",1680,2069.88
"2000","GM059","15_25","M",998,2082.6
"2000","GM060","15_25","M",2522,2087.63
"2000","GM061","15_25","M",2168,2092.57
"2000","GM062","15_25","M",734,2098.12
"2000","GM063","15_25","M",2359,2088.29
"2000","GM064","15_25","M",618,2108.57
"2000","GM065","15_25","M",381,2095.4
