"year","region","age","sex","n","mean_income"
"2000","GM001","15_25","F",346,1568.78
"2000","GM002","15_25","F",506,1589.73
"2000","GM003","15_25","F",186,1562.35
"2000","GM004","15_25","F",996,1598.78
"2000","GM005","15_25","F",216,1620.29
"2000","GM006","15_25","F",174,1601.19
"2000","GM007","15_25","F",189,1585.96
"2000","GM008","15_25","F",839,1569.1
"2000","GM009","15_25","F",578,1575.69
"2000","GM010","15_25","F",911,1603.69
"2000","GM011","15_25","F",684,1590.22
"2000","GM012","15_25","F",318,1621.44
"2000","GM013","15_25","F",645,1611.49
"2000","GM014","15_25","F",160,1561.88
"2000","GM015","15_25","F",779,1615.12
"2000","GM016","15_25","F",125,1528.61
"2000","GM017","15_25","F",648,1604.59
"2000","GM018","15_25","F",847,1596.04
"2000","GM019","15_25","F",210,1589.68
"2000","GM020","15_25","F",231,1624.88
"2000","GM021","15_25","F",907,1565.72
"2000","GM022","15_25","F",1002,1587.15
"2000","GM023","15_25","F",905,1598.07
"2000","GM024","15_25","F",931,1581.25
"2000","GM025","15_25","F",375,1584.94
"2000","GM026","15_25","F",773,1572.32
"2000","GM027","15_25","F",298,1545.52
"2000","GM028","15_25","F",129,1598.46
"2000","GM029","15_25","F",921,1588.51
"2000","GM030","15_25","F",256,1556.72
"2000","GM031","15_25","F",1056,1594.67
"2000","GM032","15_25","F",302,1552.86
"2000","GM033","15_25","F",261,1566.35
"2000","GM034","15_25","F",510,1589.45
"2000","GM035","15_25","F",667,1573.82
"2000","GM036","15_25","F",181,1535.89
"2000","GM037","15_25","F",214,1579.31
"2000","GM038","15_25","F",509,1618
"2000","GM039","15_25","F",387,1580.19
"2000","GM040","15_25","F",330,1600.83
"2000","GM041","15_25","F",307,1579.93
"2000","GM042","15_25","F",988,1579.6
"2000","GM043","15_25","F",453,1552.02
"2000","GM044","15_25","F",219,1626.76
"2000","GM045","15_25","F",596,1579.49
"2000","GM046","15_25","F",496,1599.43
"2000","GM047","15_25","F",504,1631.42
"2000","GM048","15_25","F",215,1589.56
"2000","GM049","15_25","F",151,1610.05
"2000","GM050","15_25","F",771,1589.6
"2000","GM051","15_25","F",830,1580.46
